transaction_id,customer_id,amount,amount_log,hour,day_of_week,is_weekend,is_night,product_risk,is_high_amount,location_risk,is_fraud
TXN_00075721,CUST_0000883,70.24965243639365,4.266189941051159,23,3,0,1,0.2,0,0.1646108644207611,0
TXN_00080184,CUST_0000937,257.31077805745616,5.554163426128102,4,2,0,1,0.2,0,0.2491846818808203,0
TXN_00019864,CUST_0000883,636.0676665883493,6.456875876913757,9,0,0,0,0.2,0,0.2599421211013994,0
TXN_00076699,CUST_0000378,1486.0656047779069,7.304560064369197,3,2,0,1,0.3,0,0.3602654849732986,0
TXN_00092991,CUST_0000851,533.1853753461268,6.280742923562299,2,2,0,1,0.2,0,0.367428135993444,0
TXN_00076434,CUST_0000324,89.88192598345493,4.509561147347918,7,1,0,0,0.7,0,0.2888914438877278,0
TXN_00084004,CUST_0000204,594.9982742382037,6.390237771487674,6,0,0,1,0.2,0,0.151734631688093,0
TXN_00080917,CUST_0000925,786.065708209013,6.668311736938509,3,3,0,1,0.2,0,0.3189993286999209,0
TXN_00060767,CUST_0000171,613.6862433115753,6.421111964146637,10,3,0,0,0.7,0,0.1137734781425941,0
TXN_00050074,CUST_0000960,2326.6338587327778,7.752607519305334,5,4,0,1,0.7,1,0.1563544253293324,0
TXN_00027701,CUST_0000644,902.0161904828904,6.805740482916152,6,6,1,1,0.7,0,0.0256545403154444,0
TXN_00042141,CUST_0000619,602.6721145917408,6.403031193898613,22,4,0,1,0.5,0,0.1428584319490206,0
TXN_00045080,CUST_0000335,1082.7783945845083,6.9882087280601874,6,2,0,1,0.7,0,0.4887490901648954,0
TXN_00016638,CUST_0000322,214.07505455425425,5.3709870581596135,8,6,1,0,0.7,0,0.3532603985135011,0
TXN_00020424,CUST_0000539,1553.9260996540795,7.349183299145805,8,0,0,0,0.3,0,0.3965726785259506,0
TXN_00088702,CUST_0000045,1056.4761979191494,6.963640402789254,6,3,0,1,0.7,0,0.1254396586221473,0
TXN_00000149,CUST_0000638,62.38104016253672,4.149164765654405,7,4,0,0,0.7,0,0.1194175418762948,0
TXN_00001761,CUST_0000198,513.2480027686697,6.242705644750454,8,0,0,0,0.2,0,0.180070975933451,0
TXN_00063120,CUST_0000690,970.3489237117714,6.878685748450791,21,5,1,0,0.2,0,0.2026616148198776,0
TXN_00069161,CUST_0000407,142.30030189823964,4.964942441588638,21,2,0,0,0.5,0,0.0157447134219507,0
TXN_00064883,CUST_0000171,510.6601724331484,6.237660678959575,2,6,1,1,0.5,0,0.0031078285744401,0
TXN_00002495,CUST_0000503,159.8430370547161,5.080428964309867,0,4,0,1,0.5,0,0.1021392975436725,0
TXN_00080296,CUST_0000144,123.68470854672516,4.82578821923839,10,1,0,0,0.7,0,0.3122243203016276,0
TXN_00019447,CUST_0000202,601.2564519283529,6.400683354477618,9,2,0,0,0.7,0,0.0282338989502925,0
TXN_00041331,CUST_0000003,348.8367727598088,5.857466682158757,2,4,0,1,0.7,0,0.3462223671071919,0
TXN_00014888,CUST_0000897,806.3343239614959,6.693737862481536,10,4,0,0,0.5,0,0.1917170744069295,0
TXN_00088636,CUST_0000045,81.81791941860028,4.4166444560752325,4,4,0,1,0.3,0,0.0859797266579997,0
TXN_00094892,CUST_0000368,597.3807093725741,6.394227189129571,9,5,1,0,0.5,0,0.006189838374307,0
TXN_00092731,CUST_0000252,781.1668128812449,6.662068033501668,21,0,0,0,0.7,0,0.023054236037227,0
TXN_00029130,CUST_0000195,1110.9258223377506,7.013848766054748,6,2,0,1,0.7,0,0.2097532494902092,0
